"Admin Passkey","Clave de acceso de administrador"
"Configuration","Configuración"
"Passkeys","Claves de acceso"
"Trusted Devices","Dispositivos de confianza"
"Audit Log","Registro de auditoría"
"Lockouts","Bloqueos"
"Migration Dashboard","Panel de migración"
"Health Check","Comprobación de estado"
"Diagnostics","Diagnósticos"
"Security Score","Puntuación de seguridad"
"Recovery","Recuperación"
"White Label & Branding","Marca blanca y personalización"
"General","General"
"Master settings for the Admin Passkey security suite.","Ajustes principales de la suite de seguridad Admin Passkey."
"Enable Admin Passkey","Activar Admin Passkey"
"Master switch for the Admin Passkey suite. When disabled, no passkey behaviour is active.","Interruptor principal de la suite Admin Passkey. Cuando está desactivado, no hay ningún comportamiento de clave de acceso activo."
"Authentication Policy","Política de autenticación"
"Control how passkeys, passwords, and Magento 2FA interact on the Admin login.","Controle cómo interactúan las claves de acceso, las contraseñas y la 2FA de Magento en el inicio de sesión del administrador."
"Passkey-First Login","Inicio de sesión con clave de acceso primero"
"Show the passkey prompt first on the Admin login page when a passkey is available.","Muestra primero la solicitud de clave de acceso en la página de inicio de sesión del administrador cuando hay una clave de acceso disponible."
"Enable Password Fallback","Activar alternativa por contraseña"
"Allow username and password login as a fallback. Disabling this can lock admins out; keep a recovery path.","Permite el inicio de sesión con nombre de usuario y contraseña como alternativa. Desactivarlo puede bloquear a los administradores; mantenga una vía de recuperación."
"Enable Magento 2FA Fallback","Activar alternativa 2FA de Magento"
"Use native Magento Two-Factor Authentication as a fallback where required.","Utiliza la autenticación de dos factores nativa de Magento como alternativa cuando sea necesario."
"Onboarding","Incorporación"
"Guide administrators through passkey enrollment.","Guía a los administradores durante el registro de la clave de acceso."
"Require Passkey Onboarding","Exigir incorporación de clave de acceso"
"Redirect admins without a passkey to the setup wizard after login, respecting recovery exceptions.","Redirige a los administradores sin clave de acceso al asistente de configuración tras iniciar sesión, respetando las excepciones de recuperación."
"Recommend a Second Passkey","Recomendar una segunda clave de acceso"
"Recommend registering a backup passkey at the end of the setup wizard.","Recomienda registrar una clave de acceso de respaldo al final del asistente de configuración."
"Remember trusted browsers to reduce repeated verification.","Recuerda los navegadores de confianza para reducir las verificaciones repetidas."
"Enable Trusted Devices","Activar dispositivos de confianza"
"Trusted Device Lifetime (days)","Vigencia del dispositivo de confianza (días)"
"Number of days a trusted device remains valid before re-verification is required.","Número de días que un dispositivo de confianza permanece válido antes de requerir una nueva verificación."
"Lockout","Bloqueo"
"Throttle and lock accounts after repeated failed login attempts.","Limita y bloquea cuentas tras repetidos intentos de inicio de sesión fallidos."
"Enable Lockout","Activar bloqueo"
"Maximum Failed Attempts","Número máximo de intentos fallidos"
"Number of failed login attempts before the account is locked.","Número de intentos de inicio de sesión fallidos antes de que la cuenta se bloquee."
"Lockout Duration (minutes)","Duración del bloqueo (minutos)"
"How long an account stays locked after exceeding the failed-attempt threshold.","Cuánto tiempo permanece bloqueada una cuenta tras superar el umbral de intentos fallidos."
"Emergency fallback when passkey authentication blocks Admin access.","Alternativa de emergencia cuando la autenticación por clave de acceso bloquea el acceso al administrador."
"Enable Emergency Recovery Mode","Activar el modo de recuperación de emergencia"
"Recovery Warning Text","Texto de advertencia de recuperación"
"Warning message displayed before an administrator enables emergency recovery.","Mensaje de advertencia que se muestra antes de que un administrador active la recuperación de emergencia."
"Track passkey adoption progress across administrators.","Realiza un seguimiento del progreso de adopción de claves de acceso entre los administradores."
"Enable Migration Dashboard","Activar el panel de migración"
"Enable Reminder Emails","Activar correos de recordatorio"
"Allow sending reminder emails to administrators who have not registered a passkey.","Permite enviar correos de recordatorio a los administradores que no han registrado una clave de acceso."
"Security Dashboard Widget","Widget del panel de seguridad"
"Configurable security-status widget on the Magento Admin dashboard.","Widget de estado de seguridad configurable en el panel del administrador de Magento."
"Enable Dashboard Widget","Activar el widget del panel"
"Enabled by default after installation. Individual cards can be toggled below.","Activado de forma predeterminada tras la instalación. Las tarjetas individuales pueden activarse/desactivarse a continuación."
"Refresh Interval (seconds)","Intervalo de actualización (segundos)"
"How often the dashboard widget refreshes its data.","Con qué frecuencia el widget del panel actualiza sus datos."
"Card: Passkey Adoption","Tarjeta: Adopción de claves de acceso"
"Card: Admins Without Passkeys","Tarjeta: Administradores sin claves de acceso"
"Card: Passkey vs Password Login Ratio","Tarjeta: Proporción de inicios de sesión con clave de acceso frente a contraseña"
"Card: Active Lockouts","Tarjeta: Bloqueos activos"
"Card: Failed Logins (last 24h)","Tarjeta: Inicios de sesión fallidos (últimas 24 h)"
"Card: Health Status","Tarjeta: Estado de salud"
