"Admin Passkey","Admin Passkey"
"Configuration","Configuratie"
"Passkeys","Passkeys"
"Trusted Devices","Vertrouwde apparaten"
"Audit Log","Auditlogboek"
"Lockouts","Blokkeringen"
"Migration Dashboard","Migratiedashboard"
"Health Check","Statuscontrole"
"Diagnostics","Diagnostiek"
"Security Score","Beveiligingsscore"
"Recovery","Herstel"
"White Label & Branding","White label & branding"
"General","Algemeen"
"Master settings for the Admin Passkey security suite.","Hoofdinstellingen voor de Admin Passkey-beveiligingssuite."
"Enable Admin Passkey","Admin Passkey inschakelen"
"Master switch for the Admin Passkey suite. When disabled, no passkey behaviour is active.","Hoofdschakelaar voor de Admin Passkey-suite. Indien uitgeschakeld is er geen passkey-gedrag actief."
"Authentication Policy","Authenticatiebeleid"
"Control how passkeys, passwords, and Magento 2FA interact on the Admin login.","Bepaal hoe passkeys, wachtwoorden en Magento 2FA samenwerken bij het inloggen op de admin."
"Passkey-First Login","Passkey-eerst inloggen"
"Show the passkey prompt first on the Admin login page when a passkey is available.","Toon de passkey-prompt eerst op de adminloginpagina als er een passkey beschikbaar is."
"Enable Password Fallback","Wachtwoord-fallback inschakelen"
"Allow username and password login as a fallback. Disabling this can lock admins out; keep a recovery path.","Sta inloggen met gebruikersnaam en wachtwoord toe als terugval. Uitschakelen kan beheerders buitensluiten; houd een herstelpad beschikbaar."
"Enable Magento 2FA Fallback","Magento 2FA-fallback inschakelen"
"Use native Magento Two-Factor Authentication as a fallback where required.","Gebruik de standaard Magento-tweestapsverificatie als terugval waar nodig."
"Onboarding","Onboarding"
"Guide administrators through passkey enrollment.","Begeleid beheerders bij het registreren van een passkey."
"Require Passkey Onboarding","Passkey-onboarding verplichten"
"Redirect admins without a passkey to the setup wizard after login, respecting recovery exceptions.","Stuur beheerders zonder passkey na het inloggen door naar de installatiewizard, met inachtneming van herstel­uitzonderingen."
"Recommend a Second Passkey","Een tweede passkey aanbevelen"
"Recommend registering a backup passkey at the end of the setup wizard.","Beveel aan een back-up-passkey te registreren aan het einde van de installatiewizard."
"Remember trusted browsers to reduce repeated verification.","Onthoud vertrouwde browsers om herhaalde verificatie te verminderen."
"Enable Trusted Devices","Vertrouwde apparaten inschakelen"
"Trusted Device Lifetime (days)","Levensduur vertrouwd apparaat (dagen)"
