"Admin Passkey","Admin-Passkey"
"Configuration","Konfiguration"
"Passkeys","Passkeys"
"Trusted Devices","Vertrauenswürdige Geräte"
"Audit Log","Audit-Protokoll"
"Lockouts","Sperren"
"Migration Dashboard","Migrations-Dashboard"
"Health Check","Systemprüfung"
"Diagnostics","Diagnose"
"Security Score","Sicherheitsbewertung"
"Recovery","Wiederherstellung"
"White Label & Branding","White-Label & Branding"
"General","Allgemein"
"Master settings for the Admin Passkey security suite.","Haupteinstellungen für die Admin-Passkey-Sicherheitssuite."
"Enable Admin Passkey","Admin-Passkey aktivieren"
"Master switch for the Admin Passkey suite. When disabled, no passkey behaviour is active.","Hauptschalter für die Admin-Passkey-Suite. Wenn deaktiviert, ist kein Passkey-Verhalten aktiv."
"Authentication Policy","Authentifizierungsrichtlinie"
"Control how passkeys, passwords, and Magento 2FA interact on the Admin login.","Legen Sie fest, wie Passkeys, Passwörter und Magento-2FA beim Admin-Login zusammenwirken."
"Passkey-First Login","Passkey-zuerst-Login"
"Show the passkey prompt first on the Admin login page when a passkey is available.","Zeige die Passkey-Aufforderung zuerst auf der Admin-Login-Seite an, wenn ein Passkey verfügbar ist."
"Enable Password Fallback","Passwort-Fallback aktivieren"
"Allow username and password login as a fallback. Disabling this can lock admins out; keep a recovery path.","Erlaube die Anmeldung mit Benutzername und Passwort als Ausweichlösung. Deaktivieren kann Administratoren aussperren; halten Sie einen Wiederherstellungsweg bereit."
"Enable Magento 2FA Fallback","Magento-2FA-Fallback aktivieren"
"Use native Magento Two-Factor Authentication as a fallback where required.","Verwende die native Magento-Zwei-Faktor-Authentifizierung bei Bedarf als Ausweichlösung."
"Onboarding","Onboarding"
"Guide administrators through passkey enrollment.","Führe Administratoren durch die Passkey-Registrierung."
"Require Passkey Onboarding","Passkey-Onboarding erforderlich"
"Redirect admins without a passkey to the setup wizard after login, respecting recovery exceptions.","Leite Administratoren ohne Passkey nach dem Login zum Einrichtungsassistenten weiter, unter Berücksichtigung von Wiederherstellungsausnahmen."
"Recommend a Second Passkey","Zweiten Passkey empfehlen"
"Recommend registering a backup passkey at the end of the setup wizard.","Empfehle am Ende des Einrichtungsassistenten die Registrierung eines Backup-Passkeys."
"Remember trusted browsers to reduce repeated verification.","Merke vertrauenswürdige Browser, um wiederholte Verifizierungen zu reduzieren."
"Enable Trusted Devices","Vertrauenswürdige Geräte aktivieren"
"Trusted Device Lifetime (days)","Gültigkeitsdauer vertrauenswürdiges Gerät (Tage)"
"Number of days a trusted device remains valid before re-verification is required.","Anzahl der Tage, die ein vertrauenswürdiges Gerät gültig bleibt, bevor eine erneute Verifizierung erforderlich ist."
"Lockout","Sperre"
"Throttle and lock accounts after repeated failed login attempts.","Drossele und sperre Konten nach wiederholten fehlgeschlagenen Anmeldeversuchen."
"Enable Lockout","Sperre aktivieren"
"Maximum Failed Attempts","Maximale fehlgeschlagene Versuche"
"Number of failed login attempts before the account is locked.","Anzahl der fehlgeschlagenen Anmeldeversuche, bevor das Konto gesperrt wird."
"Lockout Duration (minutes)","Sperrdauer (Minuten)"
"How long an account stays locked after exceeding the failed-attempt threshold.","Wie lange ein Konto gesperrt bleibt, nachdem der Schwellenwert für fehlgeschlagene Versuche überschritten wurde."
"Emergency fallback when passkey authentication blocks Admin access.","Not-Ausweichlösung, wenn die Passkey-Authentifizierung den Admin-Zugriff blockiert."
"Enable Emergency Recovery Mode","Notfall-Wiederherstellungsmodus aktivieren"
"Recovery Warning Text","Warntext zur Wiederherstellung"
"Warning message displayed before an administrator enables emergency recovery.","Warnmeldung, die angezeigt wird, bevor ein Administrator die Notfallwiederherstellung aktiviert."
"Track passkey adoption progress across administrators.","Verfolge den Fortschritt der Passkey-Einführung bei den Administratoren."
"Enable Migration Dashboard","Migrations-Dashboard aktivieren"
"Enable Reminder Emails","Erinnerungs-E-Mails aktivieren"
"Allow sending reminder emails to administrators who have not registered a passkey.","Erlaube das Senden von Erinnerungs-E-Mails an Administratoren, die noch keinen Passkey registriert haben."
"Security Dashboard Widget","Sicherheits-Dashboard-Widget"
"Configurable security-status widget on the Magento Admin dashboard.","Konfigurierbares Sicherheitsstatus-Widget im Magento-Admin-Dashboard."
"Enable Dashboard Widget","Dashboard-Widget aktivieren"
"Enabled by default after installation. Individual cards can be toggled below.","Nach der Installation standardmäßig aktiviert. Einzelne Karten können unten ein-/ausgeschaltet werden."
"Refresh Interval (seconds)","Aktualisierungsintervall (Sekunden)"
"How often the dashboard widget refreshes its data.","Wie oft das Dashboard-Widget seine Daten aktualisiert."
"Card: Passkey Adoption","Karte: Passkey-Einführung"
"Card: Admins Without Passkeys","Karte: Administratoren ohne Passkeys"
"Card: Passkey vs Password Login Ratio","Karte: Verhältnis Passkey- zu Passwort-Logins"
"Card: Active Lockouts","Karte: Aktive Sperren"
"Card: Failed Logins (last 24h)","Karte: Fehlgeschlagene Logins (letzte 24 Std.)"
"Card: Health Status","Karte: Systemstatus"
"Card: Recovery Mode Status","Karte: Status Wiederherstellungsmodus"
"Card: Trusted Devices","Karte: Vertrauenswürdige Geräte"
"Card: Diagnostics Reports","Karte: Diagnoseberichte"
"Card: Audit Events","Karte: Audit-Ereignisse"
"Card: Last Cleanup","Karte: Letzte Bereinigung"
"Card: Last Security Event","Karte: Letztes Sicherheitsereignis"
"Card: Security Score","Karte: Sicherheitsbewertung"
"Weighting for the 0-100 security score engine. Weights should sum to 100.","Gewichtung für die 0-100-Sicherheitsbewertungs-Engine. Die Gewichte sollten in Summe 100 ergeben."
"Enable Security Score","Sicherheitsbewertung aktivieren"
"Weight: Authentication","Gewicht: Authentifizierung"
"Relative weight of authentication controls in the total score.","Relatives Gewicht der Authentifizierungsmaßnahmen in der Gesamtbewertung."
"Weight: Security","Gewicht: Sicherheit"
"Relative weight of platform security controls in the total score.","Relatives Gewicht der Plattform-Sicherheitsmaßnahmen in der Gesamtbewertung."
"Weight: Operational","Gewicht: Betrieb"
"Relative weight of operational controls in the total score.","Relatives Gewicht der betrieblichen Maßnahmen in der Gesamtbewertung."
"Weight: Threats","Gewicht: Bedrohungen"
"Relative weight of active threat indicators in the total score.","Relatives Gewicht aktiver Bedrohungsindikatoren in der Gesamtbewertung."
"Environment and configuration sanity checks for the module.","Umgebungs- und Konfigurationsprüfungen für das Modul."
"Enable Health Check","Systemprüfung aktivieren"
"Support diagnostics report generation and delivery.","Erstellung und Versand von Support-Diagnoseberichten."
"Enable Diagnostics","Diagnose aktivieren"
"Support Email Recipient","Empfänger der Support-E-Mail"
"Destination address used when sending diagnostics reports to the developer.","Zieladresse, die beim Senden von Diagnoseberichten an den Entwickler verwendet wird."
"Support Reference Prefix","Präfix der Support-Referenz"
"Prefix used for the Support Reference ID in ZIP filenames, manifests, and emails.","Präfix für die Support-Referenz-ID in ZIP-Dateinamen, Manifesten und E-Mails."
"Cleanup","Bereinigung"
"Data retention and scheduled cleanup policies.","Richtlinien zur Datenaufbewahrung und geplanten Bereinigung."
"Enable Scheduled Cleanup","Geplante Bereinigung aktivieren"
"Challenge Retention (days)","Challenge-Aufbewahrung (Tage)"
"How long expired WebAuthn challenges are retained before cleanup.","Wie lange abgelaufene WebAuthn-Challenges vor der Bereinigung aufbewahrt werden."
"Diagnostics Retention (days)","Diagnose-Aufbewahrung (Tage)"
"How long generated diagnostics reports are retained before cleanup.","Wie lange erstellte Diagnoseberichte vor der Bereinigung aufbewahrt werden."
"Audit Log Retention (days)","Audit-Protokoll-Aufbewahrung (Tage)"
"How long audit events are retained before cleanup.","Wie lange Audit-Ereignisse vor der Bereinigung aufbewahrt werden."
"Fail2Ban","Fail2Ban"
"Write parseable log lines for Fail2Ban to consume.","Schreibe auswertbare Protokollzeilen, die Fail2Ban verarbeiten kann."
"Enable Fail2Ban Logging","Fail2Ban-Protokollierung aktivieren"
"Fail2Ban Log Path","Fail2Ban-Protokollpfad"
"Filesystem path (relative to the Magento root) for Fail2Ban-compatible log lines.","Dateisystempfad (relativ zum Magento-Stammverzeichnis) für Fail2Ban-kompatible Protokollzeilen."
"Optional white-label branding. Enabled by default with FalconMedia defaults.","Optionales White-Label-Branding. Standardmäßig mit FalconMedia-Voreinstellungen aktiviert."
"Enable Branding","Branding aktivieren"
"When enabled, the configured branding replaces the default FalconMedia branding.","Wenn aktiviert, ersetzt das konfigurierte Branding das Standard-FalconMedia-Branding."
"Company Name","Firmenname"
"Support Email","Support-E-Mail"
"Support URL","Support-URL"
"Documentation URL","Dokumentations-URL"
"Privacy Policy URL","URL der Datenschutzerklärung"
"Footer Text","Fußzeilentext"
"Primary Accent Color","Primäre Akzentfarbe"
"Hex color used as the primary accent in branded surfaces (e.g. #1f2937).","Hex-Farbe, die als primärer Akzent in gebrandeten Oberflächen verwendet wird (z. B. #1f2937)."
"Secondary Accent Color","Sekundäre Akzentfarbe"
"Hex color used as the secondary accent in branded surfaces (e.g. #2563eb).","Hex-Farbe, die als sekundärer Akzent in gebrandeten Oberflächen verwendet wird (z. B. #2563eb)."
"Email Templates","E-Mail-Vorlagen"
"Transactional email templates used by the module.","Transaktions-E-Mail-Vorlagen, die vom Modul verwendet werden."
"Passkey Reminder Template","Vorlage Passkey-Erinnerung"
"Email sent to administrators who have not registered a passkey.","E-Mail an Administratoren, die noch keinen Passkey registriert haben."
"Lockout Notification Template","Vorlage Sperrbenachrichtigung"
"Email sent when an administrator account is locked out.","E-Mail, die gesendet wird, wenn ein Administratorkonto gesperrt wird."
"Recovery Notification Template","Vorlage Wiederherstellungsbenachrichtigung"
"Email sent when emergency recovery mode is enabled or disabled.","E-Mail, die gesendet wird, wenn der Notfall-Wiederherstellungsmodus aktiviert oder deaktiviert wird."
"Diagnostics Report Template","Vorlage Diagnosebericht"
"Email used when sending a diagnostics report to the developer.","E-Mail, die beim Senden eines Diagnoseberichts an den Entwickler verwendet wird."
"Developer Options","Entwickleroptionen"
"Diagnostics-only options. Do not enable on production unless instructed.","Optionen nur zur Diagnose. Aktivieren Sie sie nicht in der Produktion, sofern nicht angewiesen."
"Enable Debug Logging","Debug-Protokollierung aktivieren"
"Write verbose module diagnostics to the Magento log. Keep disabled on production.","Schreibe ausführliche Moduldiagnosen in das Magento-Protokoll. In der Produktion deaktiviert lassen."
"ID","ID"
"Created At","Erstellt am"
"Event Type","Ereignistyp"
"Severity","Schweregrad"
"Actor (Admin User ID)","Akteur (Admin-Benutzer-ID)"
"Target (Admin User ID)","Ziel (Admin-Benutzer-ID)"
"IP Address","IP-Adresse"
"User Agent","User-Agent"
"Support Reference ID","Support-Referenz-ID"
"Metadata","Metadaten"
"Passkey Registration","Passkey-Registrierung"
"Passkey Login","Passkey-Login"
"Password Login","Passwort-Login"
"Login Failed","Login fehlgeschlagen"
"Passkey Revoked","Passkey widerrufen"
"Trusted Device Revoked","Vertrauenswürdiges Gerät widerrufen"
"Account Lockout","Kontosperre"
"Account Unlock","Kontoentsperrung"
"Recovery Mode Enabled","Wiederherstellungsmodus aktiviert"
"Recovery Mode Disabled","Wiederherstellungsmodus deaktiviert"
"Diagnostics Report Generated","Diagnosebericht erstellt"
"Diagnostics Report Sent","Diagnosebericht gesendet"
"Data Cleanup","Datenbereinigung"
"Migration Reminder Sent","Migrationserinnerung gesendet"
"Configuration Change","Konfigurationsänderung"
"Info","Info"
"Notice","Hinweis"
"Warning","Warnung"
"Critical","Kritisch"
"WebAuthn","WebAuthn"
"Relying party and ceremony settings for passkey registration and login. Leave RP ID and origin empty to derive them from the store base URL.","Relying-Party- und Ceremony-Einstellungen für Passkey-Registrierung und -Login. Lassen Sie rpId und Origin leer, um sie aus der Basis-URL des Shops abzuleiten."
"Relying Party Name","Relying-Party-Name"
"Human-readable name shown by the authenticator during registration. Falls back to the branding company name when empty.","Für Menschen lesbarer Name, den der Authentifikator während der Registrierung anzeigt. Fällt bei leerem Feld auf den Firmennamen des Brandings zurück."
"Relying Party ID (rpId)","Relying-Party-ID (rpId)"
"Registrable domain used as the WebAuthn rpId (e.g. example.com). Leave empty to derive it from the store base URL host.","Registrierbare Domain, die als WebAuthn-rpId verwendet wird (z. B. example.com). Leer lassen, um sie aus dem Host der Basis-URL des Shops abzuleiten."
"Expected Origin","Erwartete Origin"
"Origin expected in WebAuthn responses (e.g. https://example.com). Leave empty to derive it from the store base URL.","In WebAuthn-Antworten erwartete Origin (z. B. https://example.com). Leer lassen, um sie aus der Basis-URL des Shops abzuleiten."
"User Verification","Benutzerverifizierung"
"WebAuthn userVerification requirement for registration and assertion ceremonies.","WebAuthn-userVerification-Anforderung für Registrierungs- und Assertion-Ceremonies."
"Resident Key","Resident Key"
"WebAuthn residentKey requirement. Preferred or Required enables discoverable (usernameless) passkeys.","WebAuthn-residentKey-Anforderung. Preferred oder Required aktiviert auffindbare (benutzernamenlose) Passkeys."
"Ceremony Timeout (milliseconds)","Ceremony-Timeout (Millisekunden)"
"Timeout hint passed to the browser WebAuthn ceremony.","Timeout-Hinweis, der an die WebAuthn-Ceremony des Browsers übergeben wird."
"Challenge Lifetime (seconds)","Gültigkeitsdauer der Challenge (Sekunden)"
"How long a generated challenge remains valid before it expires and must be reissued.","Wie lange eine generierte Challenge gültig bleibt, bevor sie abläuft und neu ausgestellt werden muss."
"Required","Erforderlich"
"Preferred","Bevorzugt"
"Discouraged","Nicht empfohlen"
